,Entity Name,Frequency
0,acalabrutinib,1306
1,calquenc,893
2,patient,790
3,covid,694
4,astrazeneca,599
5,cll,562
6,trial,425
7,lymphocyt,388
8,chronic,351
9,leukemia,342
10,drug,340
11,treatment,339
12,de,282
13,approv,266
14,cancer,264
15,btk,263
16,lymphoma,247
17,studi,244
18,inhibitor,196
19,la,194
20,show,192
21,new,191
22,phase,191
23,clinic,183
24,ash,166
25,data,159
26,treat,149
27,fda,145
28,azn,145
29,sever,143
30,en,139
31,coronaviru,134
32,obinutuzumab,132
33,cell,130
34,leusm,125
35,improv,123
36,el,122
37,ibrutinib,120
38,leukaemia,110
39,via,110
40,lymsm,103
41,use,101
42,result,101
43,mantl,98
44,adult,92
45,con,92
46,dr,91
47,blood,91
48,efficaci,90
49,hematolog,89
50,pharma,88
51,relap,84
52,amp,83
53,test,83
54,mcl,80
55,news,79
56,promi,77
57,earli,77
58,leucemia,76
59,effect,74
60,small,74
61,que,73
62,may,71
63,therapi,71
64,plu,70
65,respon,70
66,help,69
67,v,68
68,safeti,68
69,imbruvica,66
70,refractori,65
71,bruton,65
72,sll,63
73,cytokin,63
74,pacient,63
75,un,63
76,relapsedrefractori,62
77,toler,62
78,potenti,62
79,option,62
80,kina,60
81,pf,60
82,respiratori,57
83,tyrosin,56
84,compar,55
85,iii,55
86,combin,55
87,ii,55
88,longterm,54
89,benefit,53
90,calavi,53
91,u,52
92,storm,52
93,para,52
94,present,51
95,rr,51
96,launch,51
97,reduc,51
98,hospit,50
99,initi,49
100,rituximab,49
101,lo,48
102,oncolog,48
103,disea,46
104,ascend,46
105,di,45
106,articl,45
107,start,44
108,pt,44
109,surviv,43
110,monotherapi,43
111,clinicaltri,43
112,medicamento,42
113,frontlin,42
114,previou,42
115,ad,41
116,receiv,41
117,discu,41
118,report,41
119,venetoclax,40
120,updat,40
121,primari,40
122,versu,40
123,time,39
124,le,39
125,profil,39
126,untreat,39
127,pharmaceut,39
128,outcom,38
129,w,38
130,random,38
131,immun,38
132,day,36
133,research,36
134,say,36
135,find,36
136,india,35
137,md,35
138,elev,35
139,oxygen,35
140,target,34
141,inflamm,34
142,az,34
143,health,34
144,evalu,34
145,market,34
146,learn,34
147,associ,34
148,year,33
149,support,33
150,activ,33
151,contra,32
152,fail,32
153,tn,32
154,endpoint,32
155,cronica,32
156,without,32
157,chlorambucil,32
158,work,31
159,alon,31
160,infect,31
161,could,31
162,cllsm,31
163,progress,31
164,suggest,30
165,analysi,30
166,group,30
167,like,30
168,demonstr,30
169,see,30
170,medivizor,30
171,oral,30
172,e,29
173,asco,29
174,linfoctica,29
175,del,29
176,linfatica,29
177,month,29
178,pembrolizumab,29
179,progressionfr,28
180,posit,28
181,one,28
182,frmaco,28
183,eu,28
184,read,28
185,se,28
